schema_version,team_id,organization_id,team_name,product_ids,team_geography,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,TEAM-098C48CA29B7C627,ORG-6609FB0E6626FCC9,Xiaomi / 小米,"[""PROD-1676D9B2781F30EE"",""PROD-256B96D0AE27BE5E""]","[""China""]",active,1.0,"[""AMC-5062"",""AMC-5063""]",1
agent-hiring-map-public/1.0,TEAM-098CF12A4D72DD7E,ORG-5DAB5AFDEF6EB4C6,浙江中医药大学金华研究院 / 浙中实验室,"[""PROD-080A9EF44BD99AED""]","[""China""]",active,1.0,"[""AMC-7175""]",1
agent-hiring-map-public/1.0,TEAM-09BA178CF086C9E1,ORG-DF29EC15A6A42B0D,Mango Languages,"[""PROD-69CFEB023C21EBC2""]","[""United States""]",active,0.9,"[""AMC-0805""]",1
agent-hiring-map-public/1.0,TEAM-09D3583F88D3FB07,ORG-3171BAD2558CA978,Arize AI,"[""PROD-6CA5BD3A99FA62D6""]","[""United States""]",active,1.0,"[""AMC-1405""]",1
agent-hiring-map-public/1.0,TEAM-09DF1BD40239D62A,ORG-ACA30CBF2FE4EA9B,讯飞听见 AI,"[""PROD-8068452FA3E0D019""]","[""China""]",active,1.0,"[""AMC-0085""]",1
agent-hiring-map-public/1.0,TEAM-0A3647E873CB19A7,ORG-9D8E1A14798199BC,用AI伴学 / 教育智能体产品群,"[""PROD-F75E8DB4A4BB446C""]","[""China""]",active,0.9,"[""AMC-3795""]",1
agent-hiring-map-public/1.0,TEAM-0AB7AA339624B97C,ORG-41563A40C7D9043F,Software Defined Automation,"[""PROD-B40273A599F5E891""]","[""United States""]",active,0.9,"[""AMC-5113""]",1
agent-hiring-map-public/1.0,TEAM-0B077012D3864895,ORG-EB125AAB4748FBC9,UpDoc,"[""PROD-06D2DAAA80181105""]","[""United States""]",active,0.9,"[""AMC-6323""]",1
agent-hiring-map-public/1.0,TEAM-0B090027B508CC93,ORG-1B5393A1C792D7A0,Re:Build Manufacturing / Reflow,"[""PROD-369936214486FAB4""]","[""United States""]",active,1.0,"[""AMC-7190""]",1
agent-hiring-map-public/1.0,TEAM-0B43BC4752726452,ORG-9CA52AE89CD5F7EE,噢易云,"[""PROD-E65849A197EF58C4""]","[""China""]",active,0.9,"[""AMC-6613""]",1
agent-hiring-map-public/1.0,TEAM-0B6C68722A839BCD,ORG-187ED3862DD13CF2,清华四川能源互联网研究院,"[""PROD-976903F85488F693""]","[""China""]",active,0.9,"[""AMC-6922""]",1
agent-hiring-map-public/1.0,TEAM-0B792ACBE83E00D2,ORG-B9E96372D42CD311,alinesno-infrastructure,"[""PROD-2614DADB14FAA421""]","[""China""]",active,0.9,"[""AMC-6908""]",1
agent-hiring-map-public/1.0,TEAM-0B79C46C5A12DB48,ORG-97ACB279DFEFA377,Nebula Security,"[""PROD-7E4AB9650A6DBE02""]","[""United States""]",active,0.9,"[""AMC-7178""]",1
agent-hiring-map-public/1.0,TEAM-0B9623C1E9E446CC,ORG-0F99DA4A3C528321,InstaLILY AI,"[""PROD-61291C4503205226""]","[""United States""]",active,0.9,"[""AMC-0485""]",1
agent-hiring-map-public/1.0,TEAM-0BB0FF1B86E16E4A,ORG-F6FD43D1AADDCA89,华宇元典 / Yuandian Legal Data,"[""PROD-D650F30A58AD258C""]","[""China""]",active,1.0,"[""AMC-1848""]",1
agent-hiring-map-public/1.0,TEAM-0BBB7BC4116E2868,ORG-14550D0C8F25A0F3,网易元气,"[""PROD-7A3DB0323118CF35"",""PROD-B304C6AFF2650299""]","[""China""]",active,1.0,"[""AMC-1137"",""AMC-1138""]",1
agent-hiring-map-public/1.0,TEAM-0BCB4B899F38568F,ORG-CC0C12EBEA3C2AAF,Vista Fulfillment Group,"[""PROD-F683F17988678181""]","[""United States""]",active,0.9,"[""AMC-6440""]",1
agent-hiring-map-public/1.0,TEAM-0C02C7F2DE47823C,ORG-057EE62A75D30D23,KittLabs / KittLabsAI,"[""PROD-9CE7502707D4F573""]","[""China""]",active,0.9,"[""AMC-6979""]",1
agent-hiring-map-public/1.0,TEAM-0C0829DA97B7891C,ORG-6B82FDF51FAA79F2,河钢集团有限公司 / HBIS Group,"[""PROD-0DF45C319EB0D42A""]","[""China""]",active,0.9,"[""AMC-6833""]",1
