schema_version,organization_id,canonical_name,group_id,official_domains,geography,aliases,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,ORG-588042376C037600,Pizza Robot Studios LLC,null,"[""github.com""]","[""United States""]","[""RipperMercs / TensorFeed""]",active,1.0,"[""AMC-3701""]",1
agent-hiring-map-public/1.0,ORG-58A2EE36E054E114,Light Anchor,null,"[""lightanchor.ai""]","[""United States""]","[""Light Anchor""]",active,0.9,"[""AMC-6040""]",1
agent-hiring-map-public/1.0,ORG-58EC5B6C54791BAA,Manicule,null,"[""manicule.dev""]","[""United States""]","[""Manicule""]",active,0.9,"[""AMC-7162""]",1
agent-hiring-map-public/1.0,ORG-5958A48F64F2FD6D,Bosch Group,null,"[""bosch.com""]","[""United States""]","[""Bosch Group""]",active,0.9,"[""AMC-0787"",""AMC-5194"",""AMC-5196""]",1
agent-hiring-map-public/1.0,ORG-595A9FC1684C9812,Callab AI,null,"[""ycombinator.com""]","[""United States""]","[""Callab AI""]",active,0.9,"[""AMC-6870""]",1
agent-hiring-map-public/1.0,ORG-596622803131B3E5,波克 / Boke,null,"[""boke.jobs.feishu.cn""]","[""China""]","[""波克 / Boke""]",active,0.9,"[""AMC-6769""]",1
agent-hiring-map-public/1.0,ORG-59B862B9B7B21D69,Fifth Third Bank,null,"[""jobs.mitalent.org""]","[""United States""]","[""Fifth Third Bank""]",active,0.9,"[""AMC-6746""]",1
agent-hiring-map-public/1.0,ORG-59BAA7B007D5C968,fisher-admin / FisherQuant,null,"[""github.com""]","[""China""]","[""fisher-admin / FisherQuant""]",active,0.9,"[""AMC-5095""]",1
agent-hiring-map-public/1.0,ORG-59D43DA14A364E53,SigmaZ,null,"[""sigmaz.io""]","[""China""]","[""SigmaZ""]",active,0.9,"[""AMC-6310""]",1
agent-hiring-map-public/1.0,ORG-59FCF20C6B9BF2BE,上汽大众汽车有限公司,null,"[""csvw.zhiye.com""]","[""China""]","[""上汽大众汽车有限公司""]",active,0.9,"[""AMC-7050""]",1
agent-hiring-map-public/1.0,ORG-5ABED9AC9B671DE8,Massachusetts Institute of Technology / MGHPCC,null,"[""mit.edu""]","[""United States""]","[""Massachusetts Institute of Technology / MGHPCC""]",active,0.9,"[""AMC-6877""]",1
agent-hiring-map-public/1.0,ORG-5AE5DF27C9BC2C68,St. Jude Children's Research Hospital,null,"[""stjude.org""]","[""United States""]","[""St. Jude Children's Research Hospital""]",active,0.9,"[""AMC-6926""]",1
agent-hiring-map-public/1.0,ORG-5B4F5C8AF615364F,Tread,null,"[""tread.ai""]","[""United States""]","[""Tread""]",active,0.9,"[""AMC-6532""]",1
agent-hiring-map-public/1.0,ORG-5B82038C6DD182AE,洛阳灵睿网络技术有限公司,null,"[""0rui.com""]","[""China""]","[""洛阳灵睿网络技术有限公司""]",active,0.9,"[""AMC-6895""]",1
agent-hiring-map-public/1.0,ORG-5BE46FB404622A33,Ooak Data,null,"[""ooakdata.com""]","[""United States""]","[""Ooak Data""]",active,0.9,"[""AMC-7200""]",1
